[INFO]: Start parsing quotes
[INFO]: Start parsing page 2
[INFO]: Start parsing page 3
[INFO]: Start parsing page 4
[INFO]: Start parsing page 5
[INFO]: Start parsing page 6
[INFO]: Start parsing page 7
[INFO]: Start parsing page 8
[INFO]: Start parsing page 9
[INFO]: Start parsing page 10
[INFO]: Start parsing author George-Bernard-Shaw
[INFO]: Start parsing author Helen-Keller
[INFO]: Start parsing author Jimi-Hendrix
[INFO]: Start parsing author Stephenie-Meyer
[INFO]: Start parsing author J-K-Rowling
[INFO]: Start parsing author Charles-Bukowski
[INFO]: Start parsing author Eleanor-Roosevelt
[INFO]: Start parsing author Bob-Marley
[INFO]: Start parsing author W-C-Fields
[INFO]: Start parsing author Haruki-Murakami
[INFO]: Start parsing author Suzanne-Collins
[INFO]: Start parsing author Ralph-Waldo-Emerson
[INFO]: Start parsing author William-Nicholson
[INFO]: Start parsing author Harper-Lee
[INFO]: Start parsing author John-Lennon
[INFO]: Start parsing author J-D-Salinger
[INFO]: Start parsing author J-M-Barrie
[INFO]: Start parsing author George-Carlin
[INFO]: Start parsing author James-Baldwin
[INFO]: Start parsing author Mother-Teresa
[INFO]: Start parsing author C-S-Lewis
[INFO]: Start parsing author Jane-Austen
[INFO]: Start parsing author Allen-Saunders
[INFO]: Start parsing author Albert-Einstein
[INFO]: Start parsing author George-Eliot
[INFO]: Start parsing author Terry-Pratchett
[INFO]: Start parsing author Andre-Gide
[INFO]: Start parsing author Pablo-Neruda
[INFO]: Start parsing author Alfred-Tennyson
[INFO]: Start parsing author Ayn-Rand
[INFO]: Start parsing author George-R-R-Martin
[INFO]: Start parsing author Marilyn-Monroe
[INFO]: Start parsing author J-R-R-Tolkien
[INFO]: Start parsing author Thomas-A-Edison
[INFO]: Start parsing author Steve-Martin
[INFO]: Start parsing author E-E-Cummings
[INFO]: Start parsing author Ernest-Hemingway
[INFO]: Start parsing author Mark-Twain
[INFO]: Start parsing author Madeleine-LEngle
[INFO]: Start parsing author Alexandre-Dumas-fils
[INFO]: Start parsing author Dr-Seuss
[INFO]: Start parsing author Friedrich-Nietzsche
[INFO]: Start parsing author Garrison-Keillor
[INFO]: Start parsing author Jim-Henson
[INFO]: Start parsing author Jorge-Luis-Borges
[INFO]: Start parsing author Elie-Wiesel
[INFO]: Start parsing author Douglas-Adams
[INFO]: Start parsing author Charles-M-Schulz
[INFO]: Start parsing author Martin-Luther-King-Jr
[INFO]: Start parsing author Khaled-Hosseini
[INFO]: Scraped 100 quotes and 50 authors
[INFO]: Start parsing quotes
[INFO]: Start parsing page 2
[INFO]: Start parsing page 3
[INFO]: Start parsing page 4
[INFO]: Start parsing page 5
[INFO]: Start parsing page 6
[INFO]: Start parsing page 7
[INFO]: Start parsing page 8
[INFO]: Start parsing page 9
[INFO]: Start parsing page 10
[INFO]: Start parsing author George-R-R-Martin
[INFO]: Start parsing author Steve-Martin
[INFO]: Start parsing author Ernest-Hemingway
[INFO]: Start parsing author Douglas-Adams
[INFO]: Start parsing author Suzanne-Collins
[INFO]: Start parsing author Charles-M-Schulz
[INFO]: Start parsing author Andre-Gide
[INFO]: Start parsing author John-Lennon
[INFO]: Start parsing author Albert-Einstein
[INFO]: Start parsing author J-R-R-Tolkien
[INFO]: Start parsing author William-Nicholson
[INFO]: Start parsing author C-S-Lewis
[INFO]: Start parsing author George-Carlin
[INFO]: Start parsing author Pablo-Neruda
[INFO]: Start parsing author George-Eliot
[INFO]: Start parsing author Mark-Twain
[INFO]: Start parsing author Jane-Austen
[INFO]: Start parsing author Thomas-A-Edison
[INFO]: Start parsing author Jorge-Luis-Borges
[INFO]: Start parsing author Terry-Pratchett
[INFO]: Start parsing author Khaled-Hosseini
[INFO]: Start parsing author W-C-Fields
[INFO]: Start parsing author Harper-Lee
[INFO]: Start parsing author Friedrich-Nietzsche
[INFO]: Start parsing author E-E-Cummings
[INFO]: Start parsing author Alfred-Tennyson
[INFO]: Start parsing author Mother-Teresa
[INFO]: Start parsing author Helen-Keller
[INFO]: Start parsing author J-D-Salinger
[INFO]: Start parsing author Eleanor-Roosevelt
[INFO]: Start parsing author Charles-Bukowski
[INFO]: Start parsing author Marilyn-Monroe
[INFO]: Start parsing author Elie-Wiesel
[INFO]: Start parsing author Alexandre-Dumas-fils
[INFO]: Start parsing author Garrison-Keillor
[INFO]: Start parsing author George-Bernard-Shaw
[INFO]: Start parsing author Martin-Luther-King-Jr
[INFO]: Start parsing author Haruki-Murakami
[INFO]: Start parsing author Stephenie-Meyer
[INFO]: Start parsing author J-K-Rowling
[INFO]: Start parsing author James-Baldwin
[INFO]: Start parsing author J-M-Barrie
[INFO]: Start parsing author Dr-Seuss
[INFO]: Start parsing author Allen-Saunders
[INFO]: Start parsing author Ayn-Rand
[INFO]: Start parsing author Jim-Henson
[INFO]: Start parsing author Jimi-Hendrix
[INFO]: Start parsing author Madeleine-LEngle
[INFO]: Start parsing author Bob-Marley
[INFO]: Start parsing author Ralph-Waldo-Emerson
[INFO]: Scraped 100 quotes and 50 authors
